Age,Gender,Occupation,MonthlyDisposableIncome,HealthConsciousness,ExerciseFrequency,ConsumptionFrequency,TryNewBrand,SubscribePlan,SpendPerServing,PackagingFormat,PurchaseChannel,TopHealthBenefit,RecommendLikelihood,CurrentBrands,ExtraFeatures,Flavour_MixedBerry,Flavour_Mango,Flavour_GreenTea,Flavour_Chocolate,Flavour_Coffee,Flavour_Herbal,Flavour_Other,Context_PostWorkout,Context_Breakfast,Context_Afternoon,Context_Evening,Context_SpecialOccasion,Barrier_HighPrice,Barrier_PoorTaste,Barrier_LackTrust,Barrier_HardToFind,Barrier_UnsustainablePack,Rank_Taste,Rank_Price,Rank_NutritionalValue,Rank_BrandReputation,Rank_Packaging,SurveyDate,City,Feedback
28,Male,Working professional,1334,3,1-2,Daily,No,No,1.0,Bottle,Online retailer,Energy boost,4,BrandC,Eco packaging,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,2024-11-24 12:13:32,Sharjah,No barriers
19,Male,Student,3753,5,3-4,Rarely,Yes,Yes,8.49,Tetra Pak,Online retailer,Muscle recovery,5,BrandA,Eco packaging,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,3,1,5,2024-01-15 13:36:55,Ras Al Khaimah,No barriers
23,Female,Working professional,4698,3,3-4,Weekly,No,Yes,8.71,Powder sachet,Supermarket,Digestive health,4,None,Eco packaging,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,4,2,5,2024-10-03 16:38:42,Fujairah,HardToFind
21,Male,Student,51985,5,1-2,Never,Yes,Yes,104.64,Can,Online retailer,Energy boost,5,BrandA,Gluten-free,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,5,3,2,4,1,2025-01-25 21:19:08,Ras Al Khaimah,HighPrice
21,Female,Working professional,1807,5,3-4,Rarely,Yes,Yes,5.49,Powder sachet,Gym/Fitness centre,Energy boost,3,BrandB,None,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,4,1,5,2025-01-09 00:53:55,Umm Al Quwain,HighPrice
61,Male,Working professional,18357,5,1-2,Weekly,Yes,Yes,40.77,Can,Online retailer,Weight management,5,BrandB,Organic,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,5,4,2024-12-22 07:37:57,Abu Dhabi,PoorTaste
23,Male,Working professional,12054,3,1-2,Rarely,Yes,No,23.47,Can,Supermarket,Energy boost,4,BrandB,Gluten-free,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,5,3,2,4,1,2024-08-24 06:12:40,Sharjah,HighPrice; PoorTaste; HardToFind
44,Other,Working professional,6327,1,1-2,Weekly,Yes,No,9.84,Tetra Pak,Supermarket,Muscle recovery,4,BrandB,High protein,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,4,1,5,2024-07-22 19:50:43,Sharjah,LackTrust
29,Male,Working professional,23927,4,5+,Daily,No,No,51.44,Bottle,Convenience store,Weight management,3,BrandD,High protein,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,3,2,4,1,2024-11-02 09:08:43,Dubai,HighPrice; PoorTaste
37,Female,Self-employed,6870,3,None,Never,No,No,10.83,Bottle,Pharmacy,Weight management,5,BrandA,No artificial flavors,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,5,1,2,2025-06-08 11:08:40,Dubai,No barriers
26,Male,Student,6976,1,5+,Monthly,Yes,No,10.96,Can,Gym/Fitness centre,Weight management,5,BrandB,None,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2,4,5,3,2025-01-26 10:10:10,Sharjah,HighPrice
28,Male,Retired,4685,4,3-4,Weekly,Yes,No,12.9,Powder sachet,Online retailer,Immune support,5,BrandA,No artificial flavors,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,3,2024-04-05 09:18:13,Umm Al Quwain,No barriers
26,Male,Homemaker,14783,4,1-2,Weekly,Yes,Yes,31.7,Tetra Pak,Online retailer,Digestive health,4,BrandC,Low sugar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,3,4,2,2024-02-15 05:03:32,Abu Dhabi,No barriers
20,Female,Working professional,13185,4,3-4,Weekly,No,Yes,27.34,Bottle,Pharmacy,Muscle recovery,4,BrandA,High protein,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,5,2,4,2024-10-15 02:27:04,Ras Al Khaimah,LackTrust; HardToFind
33,Male,Working professional,2799,4,3-4,Never,Yes,Yes,5.5,Bottle,Gym/Fitness centre,Weight management,3,BrandB,Low sugar,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,3,2,1,4,2024-07-21 00:20:53,Ajman,No barriers
21,Female,Homemaker,1499,2,3-4,Daily,Yes,Yes,2.52,Powder sachet,Pharmacy,Energy boost,4,BrandB,No artificial flavors,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,5,1,3,2,2024-12-04 22:22:09,Umm Al Quwain,HighPrice; PoorTaste; UnsustainablePack
18,Male,Working professional,4094,5,1-2,Weekly,Yes,Yes,6.89,Can,Supermarket,Energy boost,3,BrandA,Organic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,2,1,3,2024-07-25 06:38:11,Ras Al Khaimah,No barriers
30,Other,Student,2392,3,1-2,Weekly,Yes,No,4.22,Powder sachet,Online retailer,Muscle recovery,5,BrandB,Eco packaging,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,3,1,4,5,2024-03-04 09:31:22,Ajman,No barriers
20,Male,Working professional,4642,4,1-2,Weekly,No,Yes,9.19,Can,Gym/Fitness centre,Weight management,5,BrandB,No artificial flavors,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,2,1,2025-06-20 08:42:34,Abu Dhabi,No barriers
51,Female,Self-employed,14968,4,None,Weekly,Yes,No,27.19,Tetra Pak,Supermarket,Weight management,5,BrandB,Organic,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,5,2,1,4,2024-11-24 13:30:04,Dubai,PoorTaste
54,Female,Student,3257,5,1-2,Daily,Yes,Yes,4.87,Tetra Pak,Online retailer,Digestive health,4,BrandB,Gluten-free,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,1,2025-06-01 21:44:48,Sharjah,No barriers
47,Female,Working professional,4729,2,None,Daily,Yes,Yes,5.23,Bottle,Online retailer,Weight management,4,BrandB,No artificial flavors,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4,3,5,1,2,2024-02-23 10:07:07,Abu Dhabi,HighPrice; LackTrust; UnsustainablePack
23,Female,Other,5178,4,1-2,Weekly,Yes,No,10.51,Tetra Pak,Online retailer,Digestive health,4,BrandC,No artificial flavors,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,5,2,1,2025-04-09 08:51:37,Ajman,HighPrice
18,Female,Homemaker,10547,4,None,Never,Yes,No,21.25,Can,Gym/Fitness centre,Digestive health,4,BrandD,None,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,3,2,4,5,2025-02-15 14:21:20,Umm Al Quwain,PoorTaste
49,Female,Working professional,651,3,1-2,Daily,Yes,Yes,4.86,Tetra Pak,Supermarket,Energy boost,1,BrandC,Eco packaging,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,4,3,2,1,2025-02-21 19:44:35,Sharjah,HighPrice
24,Male,Student,2847,4,1-2,Rarely,Yes,No,6.45,Jar,Gym/Fitness centre,Immune support,5,None,Gluten-free,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,5,4,3,1,2024-04-14 01:55:09,Ajman,HighPrice; UnsustainablePack
58,Male,Self-employed,5944,5,5+,Rarely,Yes,No,10.78,Bottle,Supermarket,Energy boost,3,None,No artificial flavors,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,2024-05-04 17:05:21,Ras Al Khaimah,No barriers
57,Female,Working professional,14473,5,None,Rarely,Yes,Yes,28.55,Tetra Pak,Convenience store,Immune support,4,BrandA,Eco packaging,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,4,3,1,2024-02-28 03:34:03,Ras Al Khaimah,HighPrice; HardToFind
41,Female,Student,3157,1,3-4,Rarely,Yes,Yes,7.29,Bottle,Supermarket,Weight management,5,BrandB,Gluten-free,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,4,5,3,2024-07-27 11:00:39,Umm Al Quwain,PoorTaste
22,Female,Student,908,3,1-2,Weekly,No,No,2.27,Bottle,Gym/Fitness centre,Digestive health,5,None,Organic,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,5,2,4,2024-01-30 17:49:09,Ras Al Khaimah,HighPrice
23,Female,Retired,8585,3,5+,Weekly,Yes,No,18.33,Tetra Pak,Online retailer,Muscle recovery,5,BrandA,High protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,3,2024-05-08 21:40:59,Sharjah,No barriers
40,Male,Working professional,2774,4,None,Weekly,Yes,Yes,6.3,Bottle,Supermarket,Weight management,1,BrandC,Eco packaging,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,5,1,2,4,2025-04-05 11:30:12,Dubai,HighPrice; LackTrust
22,Male,Self-employed,1685,3,5+,Weekly,Yes,No,2.86,Can,Online retailer,Muscle recovery,4,None,No artificial flavors,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,2,5,1,3,2024-09-07 23:04:32,Dubai,HighPrice; PoorTaste
20,Female,Homemaker,2802,3,3-4,Rarely,Yes,Yes,4.53,Bottle,Convenience store,Immune support,3,BrandC,Gluten-free,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4,3,1,5,2,2024-11-27 09:07:30,Ajman,No barriers
27,Male,Working professional,4163,5,None,Monthly,Yes,No,7.15,Bottle,Supermarket,Immune support,5,BrandA,No artificial flavors,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,2,3,5,2025-06-29 15:54:05,Dubai,No barriers
51,Male,Working professional,2852,5,5+,Rarely,No,Yes,3.85,Bottle,Supermarket,Muscle recovery,3,BrandD,Gluten-free,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,3,4,1,2025-01-19 16:03:57,Dubai,HighPrice
32,Female,Working professional,675,1,3-4,Daily,Yes,No,1.0,Bottle,Online retailer,Muscle recovery,5,BrandB,Eco packaging,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,1,3,5,2,2025-01-15 23:27:53,Ajman,HighPrice
28,Male,Working professional,11019,3,1-2,Never,Yes,No,25.71,Jar,Supermarket,Energy boost,5,None,Organic,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,1,5,4,3,2025-01-09 17:57:54,Ajman,No barriers
19,Female,Working professional,15481,4,3-4,Weekly,No,Yes,31.21,Tetra Pak,Convenience store,Digestive health,5,BrandB,High protein,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,3,2,1,2024-09-04 18:34:45,Ajman,HighPrice
29,Male,Self-employed,8834,3,5+,Weekly,Yes,Yes,17.36,Powder sachet,Supermarket,Muscle recovery,2,BrandB,None,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,5,2,4,2024-09-14 19:22:50,Sharjah,No barriers
73,Female,Working professional,1765,4,3-4,Weekly,No,No,2.54,Bottle,Online retailer,Digestive health,1,BrandD,No artificial flavors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,3,5,2024-04-15 14:12:37,Fujairah,HighPrice
19,Male,Homemaker,4100,4,1-2,Rarely,Yes,No,9.06,Jar,Supermarket,Muscle recovery,5,BrandB,None,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,3,2,1,4,2025-05-22 23:06:34,Ajman,No barriers
26,Male,Working professional,4886,5,3-4,Weekly,No,Yes,12.18,Tetra Pak,Supermarket,Energy boost,5,BrandA,No artificial flavors,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,5,2,3,1,2025-04-28 22:18:09,Sharjah,No barriers
43,Male,Working professional,8425,4,3-4,Never,No,Yes,18.3,Bottle,Supermarket,Energy boost,5,BrandA,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3,2,2025-04-18 05:13:15,Sharjah,No barriers
34,Male,Working professional,8969,4,5+,Never,No,No,19.78,Tetra Pak,Online retailer,Energy boost,3,BrandB,Low sugar,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,5,4,3,2025-06-17 02:01:28,Sharjah,PoorTaste
32,Male,Working professional,2538,4,3-4,Rarely,No,No,3.9,Tetra Pak,Online retailer,Muscle recovery,4,None,Low sugar,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,4,3,2025-06-20 14:07:50,Fujairah,HighPrice
32,Male,Self-employed,5291,3,1-2,Daily,No,Yes,10.57,Can,Supermarket,Energy boost,4,BrandB,Low sugar,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,2,1,4,3,2024-06-26 07:27:09,Ajman,No barriers
23,Female,Working professional,7417,4,5+,Rarely,No,No,13.69,Tetra Pak,Pharmacy,Muscle recovery,3,BrandA,None,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,4,2,5,1,2025-06-01 18:59:06,Dubai,HighPrice
22,Male,Working professional,18219,4,1-2,Rarely,Yes,No,36.65,Can,Online retailer,Energy boost,4,BrandC,Eco packaging,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,5,3,1,4,2024-03-05 19:19:36,Umm Al Quwain,HighPrice; PoorTaste
37,Female,Student,9266,2,1-2,Daily,Yes,Yes,21.08,Bottle,Supermarket,Weight management,4,BrandA,Eco packaging,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,5,3,2,4,1,2024-03-15 07:24:03,Umm Al Quwain,HighPrice; HardToFind
37,Female,Working professional,9998,3,3-4,Daily,Yes,Yes,20.87,Can,Supermarket,Energy boost,3,BrandC,None,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,2,5,3,1,2024-05-26 16:20:31,Fujairah,LackTrust
42,Female,Working professional,5300,3,3-4,Daily,No,Yes,13.85,Powder sachet,Supermarket,Weight management,3,BrandB,Low sugar,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,2,3,5,2025-06-07 14:14:17,Dubai,No barriers
47,Male,Working professional,17491,5,None,Daily,No,No,34.4,Bottle,Supermarket,Energy boost,4,BrandB,No artificial flavors,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,5,4,3,2025-02-03 06:38:08,Fujairah,LackTrust; HardToFind
26,Female,Other,7107,3,3-4,Monthly,No,No,12.6,Can,Online retailer,Muscle recovery,4,BrandA,High protein,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,4,5,1,2025-02-01 18:31:44,Ajman,No barriers
26,Male,Working professional,2264,3,1-2,Never,No,No,5.55,Tetra Pak,Pharmacy,Energy boost,3,BrandA,No artificial flavors,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,5,4,1,3,2024-01-17 21:24:49,Dubai,HighPrice
37,Male,Self-employed,17379,4,3-4,Weekly,Yes,Yes,35.0,Jar,Convenience store,Energy boost,3,BrandD,Low sugar,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,2,2024-10-23 06:08:34,Fujairah,No barriers
30,Other,Working professional,9211,4,5+,Monthly,Yes,Yes,19.07,Tetra Pak,Pharmacy,Immune support,5,BrandA,High protein,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,3,4,5,1,2025-06-10 02:36:45,Ajman,HighPrice; HardToFind
32,Male,Working professional,3299,2,1-2,Never,Yes,No,6.94,Bottle,Supermarket,Energy boost,5,None,No artificial flavors,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,4,1,3,2025-04-16 09:46:11,Fujairah,No barriers
37,Female,Student,3192,5,None,Weekly,Yes,Yes,5.42,Tetra Pak,Supermarket,Digestive health,5,BrandD,Low sugar,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,2,4,2025-03-16 10:21:59,Sharjah,No barriers
44,Female,Working professional,28867,5,1-2,Rarely,Yes,No,58.13,Can,Convenience store,Immune support,3,BrandA,Organic,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,2,4,5,2025-02-22 19:27:14,Ras Al Khaimah,PoorTaste; HardToFind
22,Female,Working professional,7457,4,5+,Monthly,No,No,16.86,Can,Online retailer,Weight management,3,None,Organic,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,4,3,2,2024-03-13 23:17:07,Abu Dhabi,HighPrice
23,Female,Working professional,5870,4,None,Monthly,No,Yes,13.89,Can,Supermarket,Weight management,5,BrandA,Eco packaging,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,3,5,2024-08-13 07:36:17,Fujairah,No barriers
19,Male,Student,6504,1,1-2,Weekly,Yes,Yes,12.03,Tetra Pak,Supermarket,Weight management,3,BrandD,Organic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,2,1,5,2024-09-23 07:46:40,Umm Al Quwain,No barriers
28,Male,Student,22696,3,3-4,Monthly,Yes,Yes,45.85,Jar,Online retailer,Weight management,4,BrandB,No artificial flavors,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5,3,2,2024-01-08 09:18:53,Fujairah,No barriers
18,Female,Working professional,12892,5,3-4,Daily,Yes,Yes,28.74,Tetra Pak,Online retailer,Weight management,3,BrandA,Gluten-free,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,2,3,5,4,1,2024-07-19 13:11:19,Ajman,HighPrice; PoorTaste
25,Male,Other,5835,2,None,Rarely,Yes,No,10.73,Can,Pharmacy,Energy boost,4,None,None,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,2,1,4,5,2024-01-31 05:36:22,Sharjah,LackTrust
27,Male,Working professional,11466,3,3-4,Weekly,Yes,Yes,21.63,Bottle,Supermarket,Weight management,5,None,Gluten-free,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,3,4,2,2024-04-29 01:06:01,Ras Al Khaimah,No barriers
22,Male,Working professional,1941,4,1-2,Rarely,Yes,Yes,17.5,Bottle,Supermarket,Digestive health,5,BrandC,High protein,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,2,4,1,2025-01-05 02:26:09,Sharjah,No barriers
28,Male,Working professional,7031,3,5+,Weekly,Yes,No,15.3,Powder sachet,Online retailer,Energy boost,5,BrandB,Eco packaging,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,2,4,1,5,2024-06-27 20:21:27,Abu Dhabi,HighPrice
18,Male,Working professional,25044,5,1-2,Daily,Yes,Yes,48.41,Can,Supermarket,Muscle recovery,5,None,Eco packaging,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1,5,3,4,2024-09-24 22:28:57,Umm Al Quwain,No barriers
18,Male,Working professional,4039,2,1-2,Monthly,No,No,5.28,Can,Online retailer,Muscle recovery,4,BrandC,None,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,5,3,1,4,2024-09-12 07:35:14,Dubai,HighPrice; PoorTaste
38,Female,Working professional,2292,5,3-4,Daily,Yes,Yes,5.01,Jar,Online retailer,Energy boost,4,BrandB,None,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,4,3,1,5,2024-11-23 20:55:34,Dubai,No barriers
23,Female,Working professional,2733,4,1-2,Rarely,Yes,Yes,4.63,Bottle,Supermarket,Energy boost,2,BrandB,High protein,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,2,3,1,2025-04-04 07:41:36,Sharjah,No barriers
19,Female,Student,1843,5,3-4,Never,Yes,Yes,1.0,Powder sachet,Online retailer,Weight management,4,None,No artificial flavors,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,2,4,1,5,2025-02-16 15:32:11,Abu Dhabi,PoorTaste
26,Male,Student,2425,3,1-2,Rarely,Yes,Yes,3.48,Jar,Supermarket,Muscle recovery,3,None,Gluten-free,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,5,1,4,2024-09-01 20:57:00,Sharjah,HardToFind
35,Male,Working professional,3521,4,1-2,Daily,Yes,No,8.25,Jar,Online retailer,Weight management,5,None,Low sugar,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,4,1,3,2,2024-04-20 08:32:29,Dubai,HardToFind
20,Male,Student,1387,5,3-4,Monthly,No,No,2.47,Bottle,Online retailer,Muscle recovery,4,BrandB,None,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,5,2,4,1,2024-09-26 14:47:52,Sharjah,HighPrice; PoorTaste
29,Female,Student,4984,4,3-4,Monthly,Yes,Yes,13.1,Can,Supermarket,Muscle recovery,4,BrandC,Eco packaging,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,4,3,5,2025-05-12 21:34:34,Ras Al Khaimah,No barriers
19,Female,Working professional,11071,4,3-4,Rarely,Yes,Yes,17.97,Bottle,Online retailer,Digestive health,4,BrandA,Eco packaging,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,5,4,2,3,2024-02-28 12:29:49,Abu Dhabi,PoorTaste; LackTrust
18,Male,Self-employed,2171,4,1-2,Daily,Yes,Yes,7.02,Can,Supermarket,Energy boost,3,BrandD,Organic,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,4,1,5,2024-08-09 01:40:32,Dubai,No barriers
27,Female,Working professional,19290,4,1-2,Weekly,Yes,Yes,37.89,Tetra Pak,Supermarket,Muscle recovery,5,BrandC,Low sugar,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,4,5,3,1,2,2025-06-05 03:33:20,Umm Al Quwain,PoorTaste; LackTrust; HardToFind
27,Male,Working professional,7783,4,None,Monthly,Yes,Yes,14.59,Bottle,Supermarket,Energy boost,5,BrandA,Low sugar,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,5,2024-02-09 21:08:14,Umm Al Quwain,No barriers
30,Female,Working professional,12426,5,None,Daily,Yes,No,71.54,Tetra Pak,Supermarket,Energy boost,4,BrandC,Organic,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,4,1,2,2024-06-17 22:14:05,Sharjah,No barriers
33,Female,Retired,2719,3,3-4,Weekly,No,No,6.37,Can,Gym/Fitness centre,Weight management,5,BrandA,Eco packaging,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4,3,2,5,1,2024-09-20 18:59:30,Abu Dhabi,PoorTaste
62,Female,Working professional,10605,4,5+,Weekly,No,Yes,17.56,Jar,Supermarket,Muscle recovery,4,BrandB,Low sugar,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,5,2,3,1,2025-03-17 18:29:16,Sharjah,No barriers
26,Female,Student,1840,5,1-2,Rarely,No,No,5.32,Can,Online retailer,Immune support,5,BrandB,None,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,2,5,1,2025-06-06 07:06:39,Dubai,No barriers
22,Female,Working professional,10951,4,1-2,Never,Yes,No,18.88,Bottle,Convenience store,Weight management,4,BrandD,No artificial flavors,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,2,4,5,2025-03-20 15:48:47,Abu Dhabi,HighPrice; UnsustainablePack
37,Male,Student,5737,5,1-2,Monthly,Yes,Yes,8.76,Bottle,Supermarket,Weight management,5,BrandB,No artificial flavors,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,4,1,2,3,2024-05-23 21:05:57,Dubai,No barriers
21,Female,Working professional,8086,5,1-2,Weekly,No,No,13.79,Powder sachet,Supermarket,Energy boost,5,BrandA,Eco packaging,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,3,2,2024-03-27 13:01:18,Ras Al Khaimah,No barriers
24,Male,Working professional,1706,4,None,Weekly,Yes,No,1.98,Can,Supermarket,Muscle recovery,2,BrandA,Low sugar,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,5,2,1,4,2024-12-28 20:57:57,Ras Al Khaimah,PoorTaste
18,Female,Homemaker,2196,2,5+,Never,Yes,Yes,6.28,Can,Supermarket,Weight management,5,BrandC,None,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,5,2,3,1,2025-01-15 09:43:28,Umm Al Quwain,PoorTaste; LackTrust
18,Female,Working professional,8413,1,3-4,Never,Yes,No,19.83,Bottle,Supermarket,Weight management,5,BrandA,No artificial flavors,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,2,4,1,2024-12-06 23:11:41,Ajman,PoorTaste
57,Female,Self-employed,2093,4,5+,Never,Yes,Yes,2.96,Bottle,Gym/Fitness centre,Muscle recovery,4,BrandD,Organic,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,1,2,5,4,2024-11-09 18:53:22,Abu Dhabi,LackTrust; HardToFind
39,Male,Other,7457,5,5+,Rarely,Yes,Yes,14.82,Jar,Supermarket,Muscle recovery,5,None,Organic,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2,4,5,1,3,2024-11-26 14:28:49,Ras Al Khaimah,PoorTaste
32,Female,Student,1436,3,3-4,Weekly,Yes,No,3.85,Jar,Online retailer,Energy boost,5,BrandB,No artificial flavors,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,5,2,1,4,2024-11-26 00:43:08,Ajman,No barriers
24,Female,Working professional,10544,3,3-4,Rarely,Yes,Yes,20.43,Bottle,Supermarket,Muscle recovery,1,BrandD,Eco packaging,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,1,4,2,2024-08-07 07:34:24,Umm Al Quwain,PoorTaste
20,Female,Working professional,1621,2,1-2,Weekly,No,Yes,4.14,Can,Supermarket,Weight management,5,BrandB,No artificial flavors,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,5,3,2,4,2025-05-22 04:58:51,Abu Dhabi,PoorTaste
20,Male,Working professional,8079,5,3-4,Weekly,Yes,Yes,16.15,Bottle,Supermarket,Energy boost,4,BrandB,Eco packaging,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,4,5,2,1,2025-03-31 05:00:51,Dubai,No barriers
21,Male,Working professional,8631,3,5+,Rarely,Yes,No,16.76,Powder sachet,Supermarket,Energy boost,5,BrandA,Gluten-free,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,4,3,1,5,2025-02-28 11:15:27,Sharjah,HighPrice
27,Male,Retired,2625,4,None,Daily,Yes,No,2.41,Can,Supermarket,Digestive health,4,BrandC,Gluten-free,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,4,5,2,3,1,2024-06-21 03:36:19,Sharjah,PoorTaste
